"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"138",0,"Transitivity",0.950735461369323,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"139",1,"Average Clustering",0.951561261742736,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"140",2,"GlobalEfficiency",71.2207627784541,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"141",3,"Sum",114782,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"142",4,"Modularity",0.0525635574093006,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"143",5,"Assortativity",-0.0298794796458547,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"144",6,"DegreeCentralization",0.000319196977504197,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"145",0,"Transitivity",0.933035087367344,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"146",1,"Average Clustering",0.934526625968383,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"147",2,"GlobalEfficiency",79.2217974983896,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"148",3,"Sum",106004,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"149",4,"Modularity",0.0233034153017951,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"150",5,"Assortativity",-0.0347173986732535,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"151",6,"DegreeCentralization",0.000685796851968259,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"152",0,"Transitivity",0.91267373230945,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"153",1,"Average Clustering",0.914866926034693,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"154",2,"GlobalEfficiency",80.6135059100191,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"155",3,"Sum",108640,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"156",4,"Modularity",0.0182785797521262,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"157",5,"Assortativity",-0.0337384762405491,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"158",6,"DegreeCentralization",0.00055266613874067,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"159",0,"Transitivity",0.950497860901829,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"160",1,"Average Clustering",0.950958395377421,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"161",2,"GlobalEfficiency",86.9093739424771,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"162",3,"Sum",118238,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"163",4,"Modularity",0.0218023030217053,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"164",5,"Assortativity",-0.0244684899746064,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"165",6,"DegreeCentralization",0.000984404358150161,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"166",0,"Transitivity",0.904279826693438,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"167",1,"Average Clustering",0.905575806711291,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"168",2,"GlobalEfficiency",74.0953101599423,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"169",3,"Sum",94970,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
